id,examples,features,classes,top class,LR test,SVC test,GB test,RF test,LR train,SVC train,GB train,RF train
849,1000,25,2,50.3%,+31.3%,+32.7%,+38.2%,+34.4%,+33.4%,+45.3%,+49.5%,+49.7%
924,130,1,2,50.0%,+36.9%,+33.8%,+26.2%,+26.2%,+38.0%,+38.7%,+47.9%,+47.9%
921,132,3,2,65.2%,+26.4%,+25.2%,+19.6%,+23.5%,+29.0%,+32.6%,+34.8%,+34.8%
920,500,50,2,59.0%,+10.8%,+16.2%,+31.6%,+27.6%,+18.2%,+34.0%,+41.0%,+41.0%
918,250,50,2,54.0%,+3.6%,+9.2%,+28.8%,+22.8%,+21.4%,+40.5%,+46.0%,+46.0%
922,100,50,2,58.0%,+7.0%,+13.0%,+28.0%,+29.0%,+40.4%,+42.0%,+42.0%,+42.0%
926,500,25,2,51.0%,+29.2%,+27.8%,+34.2%,+33.8%,+32.2%,+46.0%,+49.0%,+49.0%
917,1000,25,2,54.6%,+10.4%,+11.4%,+35.7%,+35.1%,+13.2%,+32.2%,+45.3%,+45.4%
1066,145,94,2,58.6%,+15.8%,+15.8%,+6.4%,+9.1%,+33.3%,+27.4%,+41.4%,+41.4%
1559,106,9,4,46.2%,+8.3%,+8.6%,+16.9%,+15.8%,+21.0%,+37.0%,+53.8%,+53.8%
231,294,13,2,63.9%,+19.1%,+17.4%,+10.2%,+12.2%,+21.4%,+25.5%,+34.9%,+36.1%
40975,1728,6,4,70.0%,+7.0%,+22.6%,+19.6%,+16.7%,+10.0%,+28.3%,+29.6%,+30.0%
51,294,13,2,63.9%,+19.1%,+17.4%,+9.8%,+10.9%,+21.4%,+25.5%,+34.9%,+36.1%
188,736,19,5,29.1%,+21.6%,+24.1%,+27.2%,+25.4%,+37.6%,+46.9%,+70.3%,+70.9%
455,406,7,3,62.6%,+9.5%,+8.8%,+23.6%,+21.1%,+14.2%,+16.2%,+37.4%,+37.4%
40,208,60,2,53.4%,+13.0%,+14.9%,+16.4%,+20.7%,+39.8%,+44.9%,+46.6%,+46.6%
164,106,57,2,50.0%,+29.1%,+35.6%,+33.0%,+38.7%,+50.0%,+50.0%,+50.0%,+50.0%
48,151,5,3,34.4%,+19.7%,+23.0%,+30.9%,+38.9%,+22.1%,+32.2%,+62.1%,+62.4%
59,351,34,2,64.1%,+22.5%,+29.9%,+28.2%,+28.5%,+29.0%,+32.4%,+35.9%,+35.9%
11,625,4,3,46.1%,+39.0%,+40.8%,+25.4%,+22.1%,+42.0%,+45.5%,+51.4%,+53.9%
23,1473,9,3,42.7%,+8.0%,+11.3%,+13.3%,+9.8%,+9.4%,+19.1%,+24.5%,+53.1%
961,285,7,2,58.6%,+9.4%,+17.2%,+15.8%,+16.9%,+12.0%,+21.4%,+37.0%,+41.4%
963,294,13,2,63.9%,+19.1%,+17.4%,+10.5%,+12.6%,+21.4%,+25.5%,+35.0%,+36.1%
1017,452,279,2,54.2%,+17.9%,+22.4%,+29.2%,+26.6%,+40.3%,+34.5%,+45.5%,+45.8%
967,406,8,2,62.6%,+22.8%,+22.6%,+32.0%,+29.5%,+25.7%,+26.7%,+37.4%,+37.4%
840,205,25,2,59.5%,+29.1%,+24.3%,+24.1%,+29.1%,+38.5%,+39.3%,+40.5%,+40.5%
839,782,8,2,65.0%,-1.4%,+11.4%,+12.3%,+11.3%,+8.2%,+28.3%,+34.5%,+35.0%
1007,107,11,2,58.9%,+17.8%,+25.3%,+9.3%,+16.7%,+26.0%,+35.0%,+41.1%,+41.1%
802,1945,18,2,50.0%,+18.9%,+20.1%,+7.0%,+15.6%,+20.7%,+32.3%,+38.4%,+50.0%
944,130,9,2,50.8%,+26.2%,+25.4%,+15.4%,+23.8%,+29.4%,+32.6%,+49.2%,+49.2%
858,294,13,2,63.9%,+19.1%,+17.4%,+10.2%,+11.9%,+21.4%,+25.5%,+35.0%,+36.1%
975,205,25,2,67.3%,+2.4%,-3.5%,+7.3%,+11.8%,+16.6%,+23.1%,+32.7%,+32.7%
50,958,9,2,65.3%,-3.2%,+19.0%,+20.4%,+21.0%,+3.6%,+27.9%,+30.8%,+34.7%
